ksp_type,pc_type,speedup
cg,bjacobi,1.11
cg,jacobi,1.42
cg,sor,1.04
cg,mg,0.98
gmres,bjacobi,1.00
gmres,jacobi,1.16
gmres,sor,0.94
gmres,mg,0.95
fcg,bjacobi,1.08
fcg,jacobi,1.40
fcg,sor,1.03
fcg,mg,0.97
tcqmr,bjacobi,0.69
tcqmr,jacobi,1.13
tcqmr,sor,0.59
tcqmr,mg,0.58
cgs,bjacobi,1.05
cgs,jacobi,1.36
cgs,sor,0.98
cgs,mg,0.92
bcgs,bjacobi,1.05
bcgs,jacobi,1.34
bcgs,sor,0.98
bcgs,mg,0.89
tfqmr,bjacobi,1.04
tfqmr,jacobi,1.35
tfqmr,sor,0.97
tfqmr,mg,0.92
cr,bjacobi,1.11
cr,jacobi,1.42
cr,sor,1.05
cr,mg,0.98
gcr,bjacobi,1.05
gcr,jacobi,1.16
gcr,sor,0.99
gcr,mg,1.01
